fold,target,n_val_rows,n_val_facilities,pr_auc,roc_auc,brier_score,positive_rate,best_iteration
1,fall_30d,8831,16,0.3373227918632394,0.8141580397355975,0.1357976794242859,0.07360434831842373,83
2,fall_30d,8826,16,0.27619786457872036,0.8275926504649723,0.14738041162490845,0.05268524813052345,16
3,fall_30d,8821,15,0.1919562708969403,0.7192095447705344,0.15017686784267426,0.06858632808071648,123
4,fall_30d,8844,17,0.2884100339135622,0.8161240028280995,0.15570588409900665,0.08367254635911352,12
5,fall_30d,8831,16,0.3214132481026549,0.8377304514713285,0.13039530813694,0.08526780659042012,23
1,rth_60d,8831,16,0.09441735954228614,0.7248980869284287,0.06950393319129944,0.03555656211074623,4
2,rth_60d,8826,16,0.07624370676486723,0.7355957504670466,0.06410403549671173,0.022207115341037843,5
3,rth_60d,8821,15,0.05902594535534513,0.7029955421639507,0.06621158123016357,0.017344972225371274,7
4,rth_60d,8844,17,0.07140725822307259,0.7136116904542459,0.053515493869781494,0.03199909543193125,96
5,rth_60d,8831,16,0.11908981679605368,0.7652733077146063,0.06848568469285965,0.03578303702864908,2
1,wound_60d,8831,16,0.09510024049668528,0.700116239262759,0.11727265268564224,0.04461555882685993,6
2,wound_60d,8826,16,0.08445109514966138,0.58125377686137,0.12636782228946686,0.03195105370496261,2
3,wound_60d,8821,15,0.03556637127158034,0.5001686224970991,0.0646507516503334,0.03253599365151343,145
4,wound_60d,8844,17,0.1478760304712642,0.6588301395788976,0.12472351640462875,0.044097693351424695,1
5,wound_60d,8831,16,0.23041117107892178,0.7538202322108813,0.0717436671257019,0.07937945872494621,254
