facility_id,n_obs,fall_30d_obs_rate,fall_30d_mean_pred,fall_30d_roc_auc,rth_60d_obs_rate,rth_60d_mean_pred,rth_60d_roc_auc,wound_60d_obs_rate,wound_60d_mean_pred,wound_60d_roc_auc
59fd3bbf-5951-54ff-94d6-b8054166a79c,250,0.3,0.2057105249368311,0.8122666666666667,0.06,0.03960809962669482,0.7168794326241135,0.12,0.08375843234451509,0.7287121212121213
b53af31d-21d3-5c9a-bcb4-da630383dd87,75,0.09333333333333334,0.15929918192355885,0.3728991596638655,0.013333333333333334,0.036186312987582916,0.8040540540540541,0.0,,
b0489f8e-d985-5604-825b-728fa0ab0d79,871,0.16991963260619977,0.15244813904654522,0.8111098650517737,0.006888633754305396,0.043317810573594316,0.894412331406551,0.0,,
811637ce-bdf6-58ca-a166-2af29d3d2b76,562,0.2188612099644128,0.14337687324673645,0.8142026408874568,0.12811387900355872,0.037224123326253904,0.5288973922902495,0.1797153024911032,0.0788467356221134,0.49048559953609244
1d058197-75f4-53bc-a913-d9c41a3e31c7,95,0.21052631578947367,0.14283225575958616,0.9103333333333333,0.031578947368421054,0.030355509168854055,0.9166666666666666,0.0,,
f0d689dd-2efe-507c-99f6-e2622f57ad23,203,0.09359605911330049,0.13033056391872627,0.710812356979405,0.08374384236453201,0.024951320843833606,0.7549019607843137,0.0,,
8974a632-8215-5c23-b57c-3d764cc88bbe,292,0.09246575342465753,0.11304861549930391,0.7122990915443745,0.05821917808219178,0.032989739153314754,0.4337967914438503,0.07191780821917808,0.040972990472182926,0.5641363556492708
327f8bc9-b7b1-5da2-a7e0-e53e937b7f9b,368,0.06521739130434782,0.10259978187898504,0.7094234496124031,0.024456521739130436,0.028235801312346563,0.9585267718972454,0.03804347826086957,0.04607160867747605,0.9866828087167071
725b3558-e40d-5794-b63b-a3ecbe98252e,572,0.09615384615384616,0.10151057341948966,0.5403024441709162,0.02972027972027972,0.02218787396593466,0.36126126126126124,0.0,,
11aeacd6-bdd7-5a33-b446-77af9779e9f8,659,0.10318664643399089,0.09636710406416651,0.6258211406389967,0.051593323216995446,0.029115184326892255,0.5924705882352942,0.21851289833080426,0.09063739131388007,0.625755124056095
c7e006a8-9b41-5a73-a9eb-22bfbace78db,368,0.059782608695652176,0.0894415321205134,0.7009984235417761,0.0,,,0.0,,
c618ed20-5117-5f99-bba8-9a087db9c634,565,0.05486725663716814,0.08857808563149577,0.8134589827232088,0.0,,,0.06548672566371681,0.050446360482513705,0.5769092956592957
e001a190-a863-562d-b866-79f4dc803ba5,835,0.010778443113772455,0.06877631238738534,0.6329701372074253,0.02155688622754491,0.029093509518801176,0.8023935808513531,0.0,,
75713da7-fe55-5b40-b6db-01ad1c35a615,443,0.040632054176072234,0.06708928033906789,0.6972549019607843,0.13544018058690746,0.0452790091539747,0.6382071366405571,0.03611738148984198,0.0943192699837292,0.3714871194379391
c63dea41-adbb-5d36-859d-77904196ed78,288,0.024305555555555556,0.065372504847025,0.739196746314184,0.010416666666666666,0.017039874074628408,0.6935672514619883,0.0798611111111111,0.05638751459599679,0.7243642329778507
144f2254-d6c6-52c3-b9c1-e1d21a908a47,332,0.006024096385542169,0.04333574625477533,0.4303030303030303,0.0783132530120482,0.0233420615696947,0.6432252388134742,0.06626506024096386,0.07717907895402992,0.5245601173020529
b3d5cfae-8a33-51db-9648-5dbcfe2398e8,340,0.008823529411764706,0.037561407916751506,0.16320474777448069,0.011764705882352941,0.026914234327931687,0.19047619047619047,0.0,,
b8876638-f223-5388-b89e-d848bc47c215,1033,0.005808325266214908,0.007931738706646865,0.49415774099318405,0.0,,,0.0,,
91ee2de0-5182-5a87-9a27-df90fa2a1adc,166,0.0,,,0.030120481927710843,0.028715187367281837,0.8919254658385094,0.0,,
9af404ac-ade0-58f1-a5e8-522d8003f313,704,0.0,,,0.004261363636363636,0.024763554578317134,0.8808844507845934,0.0014204545454545455,0.051827559734019264,0.41963015647226176
